District,Constituency,Constituency Category,Candidate,Gender,Candidate Category,Age,Party,Votes,Position,Winner,Winning Party,Lost By Votes,Lost By (percentage)
KOLAR,Kolar,GEN,K. SRINIVASA GOWDA,M,GEN,66,JD(S),50366,2,R. VATHUR PRAKASH,IND,12591,20.00
KOLAR,Malur,GEN,KRISSHNAIAH SETTY ES.EN. MALURU,M,GEN,53,IND,38876,2,K.S. MANJUNATHGOWDA,JD(S),18769,32.56
BANGALORE URBAN ,Yelahanka,GEN,B. CHANDRAPPA,M,GEN,50,JD(S),57110,2,S.R. VISHWANATH,BJP,18397,24.36
B.B.M.P(NORTH) ,K.r.pura,GEN,N.S.NANDIESHA REDDY,M,GEN,41,BJP,82298,2,B.A.BASAVARAJA,INC,24001,22.58
BANGALORE URBAN ,Byatarayanapura,GEN,A.RAVI,M,GEN,52,BJP,63725,2,KRISHNA BYRE GOWDA,INC,32400,33.71
BANGALORE URBAN ,Yeshvanthapura,GEN,T.N.JAVARAYI GOWDA,M,GEN,54,JD(S),91280,2,S.T.SOMASHEKAR,INC,29100,24.17
B.B.M.P(CENTRAL) ,Rajarajeshwarinagar,GEN,K.L.R.THIMMANANJAIAH,M,GEN,43,JD(S),52251,2,MUNIRATHNA,INC,18813,26.47
BANGALORE URBAN ,Dasarahalli,GEN,B L SHANKAR,M,GEN,61,INC,46734,2,S MUNIRAJU,BJP,10828,18.81
B.B.M.P(NORTH) ,Mahalakshmi Layout,GEN,N.L. NARENDRABABU,M,GEN,51,INC,50757,2,GOPALAIAH .K.,JD(S),15370,23.24
B.B.M.P(NORTH) ,Malleshwaram,GEN,B. K. SHIVARAM.,M,GEN,60,INC,36543,2,DR. ASHWATH NARAYAN C. N.,BJP,21066,36.57
B.B.M.P(NORTH) ,Hebbal,GEN,C.K. ABDUL RAHMAN SHARIEF,M,,,INC,41218,2,Y.A. NARAYANA SWAMY,BJP,19149,31.72
B.B.M.P(NORTH) ,Pulakeshinagar,SC,B.PRASANNA KUMAR,M,SC,60,INC,38796,2,AKHANDA SRINIVAS MURTHY.R,JD(S),10199,20.82
B.B.M.P(NORTH) ,Sarvagnanagar,GEN,PADMANABHA REDDY,M,GEN,49,BJP,46820,2,K.J. GEORGE,INC,22853,32.80
B.B.M.P(NORTH) ,C.V. Raman Nagar,SC,P. RAMESH,M,SC,47,INC,44945,2,S. RAGHU,BJP,8419,15.78
B.B.M.P(CENTRAL) ,Shivajinagar,GEN,NIRMAL SURANA,M,GEN,49,BJP,28794,2,R.ROSHAN BAIG,INC,20855,42.00
B.B.M.P(CENTRAL) ,Shanti Nagar,GEN,K. VASUDEVA MURTHY,M,GEN,49,JD(S),34155,2,N.A.HARIS,INC,20187,37.15
B.B.M.P(CENTRAL) ,Gandhi Nagar,GEN,P C MOHAN,M,GEN,49,BJP,32361,2,DINESH GUNDU RAO,INC,22607,41.13
B.B.M.P(CENTRAL) ,Rajaji Nagar,GEN,R.MANJULA NAIDU,F,GEN,43,INC,24524,2,S.SURESH KUMAR,BJP,14767,37.58
B.B.M.P(SOUTH) ,Govindraj Nagar,GEN,H. RAVINDRA,M,GEN,50,BJP,30194,2,PRIYAKRISHNA,INC,42460,58.44
B.B.M.P(SOUTH) ,Vijay Nagar,GEN,V.SOMANNA,M,GEN,61,BJP,44249,2,M.KRISHNAPPA,INC,32642,42.45
B.B.M.P(CENTRAL) ,Chamrajpet,GEN,G.A.BAVA,M,GEN,63,INC,26177,2,B.Z.ZAMEER AHMED KHAN,JD(S),30162,53.54
B.B.M.P(CENTRAL) ,Chickpet,GEN,UDAY.B.GARUDACHAR,M,GEN,53,BJP,31655,2,R.V. DEVRAJ,INC,13059,29.21
B.B.M.P(SOUTH) ,Basavanagudi,GEN,K.BAGEGOWDA,M,GEN,56,JD(S),24163,2,RAVI SUBRAMANYA.L.A.,BJP,19713,44.93
B.B.M.P(SOUTH) ,Padmanaba Nagar,GEN,L.S.CHETHAN GOWDA,M,GEN,30,INC,33557,2,R ASHOKA,BJP,20123,37.49
B.B.M.P(SOUTH) ,B.t.m layout,GEN,N. SUDHAKAR,M,GEN,36,BJP,20664,2,RAMALINGAREDDY,INC,49048,70.36
B.B.M.P(SOUTH) ,Jayanagar,GEN,M.C.VENUGOPAL,M,GEN,52,INC,31678,2,B.N. VIJAYAKUMAR,BJP,12312,27.99
BANGALORE URBAN ,Mahadevapura,SC,A.C.SRINIVAS,M,SC,46,INC,104095,2,ARVIND LIMBAVALI,BJP,6149,5.58
B.B.M.P(SOUTH) ,Bommanahalli,GEN,NAGABHUSHANA.C,M,GEN,46,INC,60700,2,SATHISH REDDY.M,BJP,25852,29.87
BANGALORE URBAN ,Bangalore South,GEN,R. PRABHAKARA REDDY,M,GEN,42,JD(S),72045,2,M. KRISHNAPPA,BJP,30162,29.51
BANGALORE URBAN ,Anekal,SC,A. NARAYANASWAMY,M,SC,54,BJP,65282,2,SHIVANNA B.,INC,40182,38.10
BANGALORE RURAL ,Hosakote,GEN,B N BACHEGOWDA,M,GEN,71,BJP,78099,2,M.T.B. NAGARAJ,INC,7139,8.38
BANGALORE RURAL ,Devanahalli,SC,VENKATASWAMY,M,SC,43,INC,68381,2,PILLA MUNISHAMAPPA,JD(S),1942,2.76
BANGALORE RURAL ,Doddaballapur,GEN,B MUNEGOWDA,M,GEN,57,IND,37430,2,T.VENKATARAMANAIAH (APPAKARANAHALLI T.VENKATESH),INC,1447,3.72
BANGALORE RURAL ,Nelamangala,SC,ANJANAMURTHY,M,SC,72,INC,45389,2,DR K SRINIVASAMURTHY,JD(S),15103,24.97
RAMANAGARAM ,Magadi,GEN,A.MANJUNATH,M,GEN,39,INC,60462,2,H.C.BALAKRISHNA,JD(S),14359,19.19
RAMANAGARAM ,Ramanagaram,GEN,MARIDEVARU,M,GEN,46,INC,58049,2,H D KUMARA SWAMY,JD(S),25398,30.44
RAMANAGARAM ,Kanakapura,GEN,P.G.R SINDHIA,M,GEN,63,JD(S),68583,2,D.K. SHIVAKUMAR,INC,31424,31.42
RAMANAGARAM ,Channapatna,GEN,ANITHA KUMARASWAMY,F,GEN,49,JD(S),73635,2,C P YOGESHWARA,SP,6464,8.07
MANDYA ,Malavalli,SC,DR||.K. ANNADANI,M,SC,46,JD(S),61331,2,P.M.NARENDRA SWAMY,INC,538,0.87
MANDYA ,Maddur,GEN,MADHU G.MADEGOWDA,M,GEN,49,INC,48968,2,D.C.THAMMANNA,JD(S),31958,39.49
MANDYA ,Melukote,GEN,C.S.PUTTARAJU,M,GEN,49,JD(S),70193,2,K.S.PUTTANNAIAH,SKP,9848,12.30
MANDYA ,Mandya,GEN,M. SRINIVAS,M,GEN,61,JD(S),47392,2,M.H. AMBAREESH,INC,42937,47.53
MANDYA ,Shrirangapattana,GEN,RAVINDRA SRIKANTAIAH,M,GEN,42,IND,41580,2,A.B. RAMESHA BANDISIDDEGOWDA,JD(S),13624,24.68
MANDYA ,Nagamangala,GEN,SURESH GOWDAA,M,GEN,49,INC,68840,2,N.CHALUVARAYASWAMY (SWAMY GOWDA),JD(S),20363,22.83
MANDYA ,Krishnarajpet,GEN,K B CHANDRASHEKAR,M,GEN,60,INC,47541,2,NARAYANAGOWDA,JD(S),9243,16.28
HASSAN ,Shravanabelagola,GEN,C.S.PUTTEGOWDA,M,GEN,63,INC,63043,2,C.N.BALAKRISHNA,JD(S),24142,27.69
HASSAN ,Arsikere,GEN,B.SHIVARAMU,M,GEN,63,INC,46948,2,K.M.SHIVALINGE GOWDA,JD(S),29631,38.69
HASSAN ,Belur,GEN,K.S.LINGESHA,M,GEN,54,JD(S),41273,2,Y.N RUDRESHA GOWDA,INC,7529,15.43
HASSAN ,Hassan,GEN,H.K.MAHESH,M,GEN,44,INC,57110,2,H.S.PRAKASH,JD(S),4196,6.84
HASSAN ,Holenarasipur,GEN,S.G. ANUPAMA,F,GEN,43,INC,62655,2,H.D REVANNA,JD(S),30058,32.42
HASSAN ,Arkalgud,GEN,A.T RAMASWAMY,M,GEN,61,JD(S),52575,2,MANJU A,INC,8794,14.33
HASSAN ,Sakleshpur,SC,D. MALLESH,M,SC,60,INC,30533,2,KUMARASWAMY H.K.,JD(S),33069,51.99
DAKSHINA KANNADA ,Belthangady,GEN,RANJAN G. GOWDA,M,GEN,31,BJP,58789,2,K. VASANTHA BANGERA,INC,15741,21.12
DAKSHINA KANNADA ,Moodabidri,GEN,UMANATHA KOTIAN,M,GEN,53,BJP,48630,2,K ABHAYACHANDRA,INC,4550,8.56
DAKSHINA KANNADA ,Mangalore City North,GEN,KRISHNA.J.PALEMAR,M,GEN,57,BJP,64524,2,B.A.MOHIUDDIN BAVA,INC,5373,7.69
DAKSHINA KANNADA ,Mangalore City South,GEN,N. YOGISH BHAT,M,GEN,59,BJP,55554,2,J.R.LOBO,INC,12275,18.10
DAKSHINA KANNADA ,Mangalore,GEN,CHANDRAHAS ULLAL,M,GEN,58,BJP,40339,2,U T KHADER,INC,29111,41.92
DAKSHINA KANNADA ,Bantval,GEN,RAJESH NAIK ULIPADY,M,GEN,55,BJP,63815,2,B.RAMANATHA RAI,INC,17850,21.86
DAKSHINA KANNADA ,Puttur,GEN,SANJEEVA MATANDOOR,M,GEN,52,BJP,62056,2,SHAKUNTALA T SHETTY,INC,4289,6.46
DAKSHINA KANNADA ,Sullia,SC,DR. B. RAGHU,M,SC,58,INC,64540,2,ANGARA. S,BJP,1373,2.08
KODAGU ,Madikeri,GEN,B.A.JIVIJAYA,M,GEN,75,JD(S),52067,2,APPACHU (RANJAN) M.P,BJP,4629,8.16
KODAGU ,Virajpet,GEN,BIDDATANDA.T.PRADEEP,M,GEN,52,INC,63836,2,K.G.BOPAIAH,BJP,3414,5.08
MYSORE ,Periyapatna,GEN,K.MAHADEV,M,GEN,58,JD(S),59957,2,K.VENKATESH,INC,2088,3.37
MYSORE ,Krishnarajanagara,GEN,DODDASWAMEGOWDA,M,GEN,61,INC,66405,2,SA.RA.MAHESH,JD(S),15052,18.48
MYSORE ,Hunsur,GEN,KUMARASWAMY,M,GEN,72,JD(S),43723,2,H.P.MANJUNATH,INC,40207,47.91
